2025-12-31 08:12:00.852 | INFO | simulation | Launched detached simulation. PID=2860
2025-12-31 08:12:01.988 | INFO | simulation | Run initialized
2025-12-31 08:12:01.989 | INFO | simulation | Run folder: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200
2025-12-31 08:12:01.989 | INFO | simulation | Config used: experiments\nifty500_ema_online_1D_greedy_weekly_20251231_024200\params.yaml
2025-12-31 08:12:01.989 | INFO | simulation | Experiments dir: experiments
2025-12-31 08:12:01.989 | INFO | simulation | Running experiment from config
2025-12-31 08:12:01.994 | INFO | simulation | Runner starting | data.mode=processed | use_gpu=False
2025-12-31 08:12:48.360 | INFO | simulation | Progress: 66% (1698/2572) | date=2021-12-22 00:00:00 nav=128.40959238 opt_status=no_rebalance
2025-12-31 08:12:49.127 | INFO | simulation | Progress: 67% (1724/2572) | date=2022-01-28 00:00:00 nav=133.32456847 opt_status=no_rebalance
2025-12-31 08:12:50.078 | INFO | simulation | Progress: 68% (1749/2572) | date=2022-03-07 00:00:00 nav=134.11772459 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:50.848 | INFO | simulation | Progress: 69% (1775/2572) | date=2022-04-13 00:00:00 nav=169.92972135 opt_status=no_rebalance
2025-12-31 08:12:51.807 | INFO | simulation | Progress: 70% (1801/2572) | date=2022-05-24 00:00:00 nav=185.91528472 opt_status=no_rebalance
2025-12-31 08:12:52.585 | INFO | simulation | Progress: 71% (1827/2572) | date=2022-06-29 00:00:00 nav=174.26970373 opt_status=no_rebalance
2025-12-31 08:12:53.296 | INFO | simulation | Progress: 72% (1852/2572) | date=2022-08-03 00:00:00 nav=173.03115119 opt_status=no_rebalance
2025-12-31 08:12:54.178 | INFO | simulation | Progress: 73% (1878/2572) | date=2022-09-13 00:00:00 nav=172.96840089 opt_status=no_rebalance
2025-12-31 08:12:54.865 | INFO | simulation | Progress: 74% (1904/2572) | date=2022-10-20 00:00:00 nav=190.19997486 opt_status=no_rebalance
2025-12-31 08:12:55.677 | INFO | simulation | Progress: 75% (1929/2572) | date=2022-11-29 00:00:00 nav=211.55150694 opt_status=no_rebalance
2025-12-31 08:12:56.483 | INFO | simulation | Progress: 76% (1955/2572) | date=2023-01-04 00:00:00 nav=223.5967268 opt_status=no_rebalance
2025-12-31 08:12:57.173 | INFO | simulation | Progress: 77% (1981/2572) | date=2023-02-10 00:00:00 nav=193.59655134 opt_status=no_rebalance
2025-12-31 08:12:57.972 | INFO | simulation | Progress: 78% (2007/2572) | date=2023-03-21 00:00:00 nav=194.26124693 opt_status=no_rebalance
2025-12-31 08:12:58.845 | INFO | simulation | Progress: 79% (2032/2572) | date=2023-05-02 00:00:00 nav=203.61563959 opt_status=ok_ema_online_mv_reg
2025-12-31 08:12:59.589 | INFO | simulation | Progress: 80% (2058/2572) | date=2023-06-07 00:00:00 nav=210.79665591 opt_status=no_rebalance
2025-12-31 08:13:00.281 | INFO | simulation | Progress: 81% (2084/2572) | date=2023-07-14 00:00:00 nav=253.19602663 opt_status=no_rebalance
2025-12-31 08:13:01.181 | INFO | simulation | Progress: 82% (2110/2572) | date=2023-08-22 00:00:00 nav=263.66338533 opt_status=no_rebalance
2025-12-31 08:13:01.904 | INFO | simulation | Progress: 83% (2135/2572) | date=2023-09-27 00:00:00 nav=277.97622494 opt_status=no_rebalance
2025-12-31 08:13:02.782 | INFO | simulation | Progress: 84% (2161/2572) | date=2023-11-06 00:00:00 nav=275.54966369 opt_status=ok_ema_online_mv_reg
